"ID","pop","unemp","wealth","ym","Jan 2010","Feb 2010","Mar 2010","Apr 2010","May 2010","Jun 2010","Jul 2010","Aug 2010","Sep 2010","Oct 2010","Nov 2010","Dec 2010","Jan 2011","Feb 2011","Mar 2011","Apr 2011","May 2011","Jun 2011","Jul 2011","Aug 2011","Sep 2011","Oct 2011","Nov 2011","Dec 2011","Jan 2012","Feb 2012","Mar 2012","Apr 2012","May 2012","Jun 2012","Jul 2012","Aug 2012","Sep 2012","Oct 2012","Nov 2012","Dec 2012","Jan 2013","Feb 2013","Mar 2013","Apr 2013","May 2013","Jun 2013","Jul 2013","Aug 2013","Sep 2013","Oct 2013","Nov 2013","Dec 2013","Jan 2014","Feb 2014","Mar 2014","Apr 2014","May 2014","Jun 2014","Jul 2014","Aug 2014","Sep 2014","Oct 2014","Nov 2014","Dec 2014","Jan 2015","Feb 2015","Mar 2015","Apr 2015","May 2015","Jun 2015","Jul 2015","Aug 2015","Sep 2015","Oct 2015","Nov 2015","Dec 2015","Winter 2010","Spring 2010","Summer 2010","Fall 2010","Winter 2011","Spring 2011","Summer 2011","Fall 2011","Winter 2012","Spring 2012","Summer 2012","Fall 2012","Winter 2013","Spring 2013","Summer 2013","Fall 2013","Winter 2014","Spring 2014","Summer 2014","Fall 2014","Winter 2015","Spring 2015","Summer 2015","Fall 2015","Total Winter","Total Spring","Total Summer","Total Fall","Total Crime"
470,1303,0.129207383279045,1.07702339668478,69,2,2,3,0,1,1,0,1,1,0,7,1,5,1,1,2,5,0,0,5,2,2,3,1,2,2,1,0,0,0,5,2,0,1,2,0,0,2,1,0,3,1,2,0,0,3,1,1,1,0,1,1,1,0,2,0,1,1,4,1,0,0,0,0,0,1,1,2,0,0,0,2,4,4,2,8,7,8,5,7,5,1,7,3,2,4,3,4,2,3,2,6,1,0,4,0,21,20,23,28,92
471,489,0.144329896907216,-1.28699415080769,25,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,1,1,2,1,1,0,0,0,2,2,1,0,0,0,1,0,1,0,1,0,0,0,1,1,2,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,3,4,1,4,1,4,1,1,2,0,4,1,1,2,0,0,0,2,1,6,8,13,7,34
472,689,0,-0.664884269888619,19,0,0,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1,1,1,1,1,0,1,0,0,0,3,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,1,1,0,4,3,2,0,4,0,0,2,3,0,0,0,0,3,0,0,1,1,3,3,15,8,29
473,1468,0.149689991142604,0.952601420500967,40,2,4,1,4,3,2,3,1,0,2,3,3,4,2,2,2,3,2,2,4,3,1,5,3,1,2,1,0,2,2,5,2,0,4,0,1,0,1,1,2,1,1,3,1,0,1,5,0,2,0,1,1,1,0,1,2,1,0,0,2,0,0,0,3,0,2,1,5,1,3,1,0,6,8,6,5,9,7,8,9,6,3,9,4,2,4,5,6,2,3,3,1,2,3,8,5,27,28,39,30,124
474,1268,0.0799220272904483,1.48857301021586,61,0,1,2,5,5,8,1,2,1,2,2,4,6,1,0,0,0,1,4,1,2,3,4,2,2,2,3,1,2,0,5,3,1,3,1,1,0,0,1,1,0,2,1,0,1,1,0,1,0,2,0,4,0,1,1,1,0,1,0,0,1,0,0,2,0,0,3,1,1,1,1,1,1,12,11,5,11,0,6,9,6,6,8,5,1,2,3,2,3,4,3,1,1,2,4,3,23,26,35,25,109
475,1157,0.0918866080156403,0.435771673275893,51,2,1,0,1,1,3,3,4,4,3,2,2,2,2,2,2,2,2,3,3,2,2,0,2,2,0,0,2,2,1,2,0,0,0,0,1,1,0,0,0,0,1,0,1,2,0,0,0,1,0,1,1,1,0,0,0,2,1,0,0,0,0,1,0,1,0,1,0,1,1,2,0,3,2,10,9,6,6,8,4,4,4,3,0,2,0,2,2,1,3,0,3,0,2,1,4,16,17,24,22,79
476,601,0.0371134020618557,-0.904157301011338,0,0,0,1,2,0,1,1,3,8,1,1,0,0,0,0,2,1,0,0,3,1,1,1,2,1,1,0,0,0,0,2,0,2,3,0,1,2,0,0,0,0,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,1,0,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,3,5,10,0,3,3,3,4,0,2,5,3,0,0,4,3,0,0,1,2,4,1,0,12,10,11,23,56
477,1136,0.0900243309002433,0.0625057447244497,38,1,1,1,1,2,2,2,3,0,1,0,3,2,0,3,0,0,1,5,6,2,2,3,1,0,0,2,0,3,2,1,0,0,1,1,3,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,4,7,1,5,3,12,7,1,5,3,2,3,0,3,2,0,0,1,0,0,0,1,1,11,12,27,13,63
478,764,0.24804992199688,-0.530891372459895,36,0,2,0,0,1,0,2,1,4,4,5,1,2,1,1,0,2,3,5,4,2,1,0,0,1,1,0,1,0,0,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,2,1,3,13,4,3,12,3,2,1,2,4,0,1,0,0,2,0,5,2,0,1,2,1,10,7,24,23,64
479,2378,0.0974683544303798,2.82850198450309,82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
